Date,B-4 SEEDS  PER 100 GMS,B-5 SEEDS  PER 100 GMS,B-6 SEEDS  PER 100 GMS,,Limit,Glass Density,DPR Draw,Contidrain Draw,Total Draw,Cullet %,Melter NG consumption / Day,melter Boosting KWH/day,Calorific Vallue of NG,"SFC
K.Cal/KG",Oxygen consumption /day
5/7/2022,47,27,22,32,70,2.4129,38.38,1.853,40.23,33.3,12956,12600,9448,3312,9363
5/8/2022,37,25,22,28,70,2.4138,38.46,1.849,40.31,33.3,13103,12480,9415,3327,9358
5/9/2022,49,39,28,39,70,2.4144,38.64,1.833,40.47,33.3,13173,12360,9408,3325,9353
5/10/2022,48,41,22,37,70,2.4167,38.85,1.836,40.69,33.3,13124,12240,9419,3297,9390
5/11/2022,57,28,24,36,70,2.4166,39.04,1.839,40.88,33.3,13025,12240,9442,3266,9370
5/12/2022,48,22,23,31,70,2.4179,39.24,1.841,41.08,33.3,13078,12480,9466,3275,9366
5/13/2022,38,30,30,33,70,2.419,39.36,1.837,41.2,33.3,13073,12384,9454,3259,9410
5/14/2022,33,27,30,30,70,2.4193,39.36,1.843,41.2,33.3,13029,12360,9438,3243,9374
5/15/2022,51,30,30,37,70,2.4186,40.49,1.849,42.34,33.3,13052,12168,9453,3161,9421
5/16/2022,53,14,21,29,70,2.4164,40.48,1.851,42.33,33.3,13292,12336,9375,3194,9410
5/17/2022,33,34,31,33,70,2.4158,39.77,1.846,41.62,33.3,13309,12360,9320,3236,9356
5/18/2022,48,20,,34,70,2.4151,39.04,1.842,40.88,33.3,13368,12360,9290,3298,9341
5/19/2022,20,12,14,15,70,2.4148,39.6,1.833,41.43,33.3,13272,12120,9323,3238,9329
5/20/2022,29,,,29,70,2.4141,40.73,1.834,42.56,33.3,13432,12120,9293,3177,9362
5/21/2022,41,20,20,27,70,2.4154,40.39,1.845,42.24,33.3,13649,12000,9339,3263,9355
5/22/2022,26,18,13,19,70,2.4186,40.24,1.843,42.08,33.3,13314,12000,9355,3205,9359
5/23/2022,20,26,21,22,70,2.4152,39.45,1.843,41.29,33.3,13303,12312,9299,3252,9366
5/24/2022,24,12,12,16,70,2.4164,38.73,1.839,40.57,33.3,13368,12360,9278,3319,9384
5/25/2022,19,9,11,13,70,2.4159,38.88,1.85,40.73,33.3,13298,12240,9292,3292,9366
5/26/2022,29,14,15,19,70,2.4156,38.84,1.853,40.69,33.3,13187,12360,9310,3278,9371
5/27/2022,34,14,14,21,70,2.4149,38.88,1.859,40.74,33.3,13206,12480,9316,3283,9326
5/28/2022,35,34,39,36,70,2.4138,38.88,1.839,40.72,33.3,13233,12528,9318,3293,9421
5/29/2022,19,12,14,15,70,2.4139,38.69,1.856,40.55,33.3,13322,12624,9310,3327,9398
5/30/2022,28,30,32,30,70,2.4132,38.97,1.85,40.82,33.3,13382,12696,9321,3323,9398
5/31/2022,48,28,28,35,70,2.4129,39.11,1.85,40.96,33.3,13259,12792,9334,3290,9363
